Rank,Ticker,Name,Sector,Industry,Index,AI_Score,Technical,Fundamental,Sentiment,RSI_Sentiment,Analyst_Sentiment,Upside_Sentiment,News_Sentiment,Sentiment_Source,Risk,RSI,MACD_Hist,Above_SMA50,Above_SMA200,Golden_Cross,Short_Interest,Insider_Buying,MarketCap
14,CPAY,Corpay,Technology,Software - Infrastructure,SP500,8.11,6.88,8.98,6.15,5.1,8.21,7.2,,rsi+analyst+upside,9.3,50.42,-1.1259,1,1,0,,False,23093673984.0
15,WTFC,Wintrust Financial,Financial Services,Banks - Regional,Russell1000,8.05,8.51,7.78,7.66,7.69,,7.54,,rsi+upside,8.17,60.78,0.1438,1,1,0,,False,10323554304.0
16,MRP,Millrose Properties,Real Estate,REIT - Residential,Russell1000,8.03,6.99,8.38,10.0,10.0,,10.0,,rsi+upside,7.75,72.54,0.2306,1,0,0,,False,4834485248.0
17,VVV,Valvoline,Consumer Cyclical,Auto & Truck Dealerships,Russell1000,8.01,8.4,7.53,9.17,9.91,8.33,7.77,,rsi+analyst+upside,7.87,69.65,0.2945,1,1,0,,False,4678023680.0
18,HEI,HEICO (Common),Industrials,Aerospace & Defense,Russell1000,8.0,8.22,7.63,8.72,9.14,7.93,8.23,,rsi+analyst+upside,8.17,66.57,1.0121,1,1,0,,False,44407459840.0
19,SPG,Simon Property Group,Real Estate,REIT - Retail,SP500,8.0,8.58,8.08,7.84,8.88,7.02,5.57,,rsi+analyst+upside,6.72,65.5,0.179,1,1,0,,False,80162398208.0
20,FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,SP500,7.99,8.08,8.14,8.65,10.0,7.76,5.5,,rsi+analyst+upside,6.91,77.86,0.1131,1,1,0,,False,10789180416.0
21,BRX,Brixmor Property Group,Real Estate,REIT - Retail,Russell1000,7.96,8.44,7.43,7.94,8.22,8.75,6.3,,rsi+analyst+upside,8.57,62.89,0.0229,1,1,0,,False,9732856832.0
22,GEN,Gen Digital,Technology,Software - Infrastructure,SP500,7.93,6.44,8.97,7.95,8.02,,7.67,,rsi+upside,7.77,62.06,-0.0094,1,1,0,,False,14862043136.0
23,HEI-A,HEICO (Class A),Industrials,Aerospace & Defense,Russell1000,7.93,7.05,8.22,8.75,8.75,,,,rsi_only,8.33,65.0,0.7211,1,0,0,,False,32884174848.0
24,INGM,Ingram Micro,Technology,Information Technology Services,Russell1000,7.93,8.11,7.7,8.61,10.0,7.0,6.07,,rsi+analyst+upside,7.8,71.97,0.3329,1,1,0,,False,6500841984.0
25,GMED,Globus Medical,Healthcare,Medical Devices,Russell1000,7.92,5.87,9.09,6.3,4.54,7.88,10.0,,rsi+analyst+upside,9.57,48.15,0.023,0,0,0,,False,10981740544.0
26,TXT,Textron,Industrials,Aerospace & Defense,SP500,7.91,8.23,7.67,6.11,5.84,,7.19,,rsi+upside,9.2,53.38,0.023,1,1,0,,False,15940402176.0
27,JEF,Jefferies Financial Group,Financial Services,Capital Markets,Russell1000,7.91,7.76,8.1,8.31,10.0,7.5,4.04,,rsi+analyst+upside,7.36,76.42,0.267,1,1,0,,False,11867294720.0
28,ARW,Arrow Electronics,Technology,Electronics & Computer Distribution,Russell1000,7.9,6.68,8.97,6.7,7.63,5.62,4.99,,rsi+analyst+upside,7.93,60.53,-1.1131,1,1,0,,False,10846531584.0
29,GS,Goldman Sachs,Financial Services,Capital Markets,SP500,7.89,8.41,8.04,7.33,9.32,6.0,2.67,,rsi+analyst+upside,6.82,67.29,4.2284,1,1,0,,False,300123750400.0
30,MSCI,MSCI Inc.,Financial Services,Financial Data & Stock Exchanges,SP500,7.88,8.2,7.71,7.35,6.89,8.68,7.37,,rsi+analyst+upside,8.11,57.58,0.1634,1,1,0,,False,44142014464.0
31,AGCO,AGCO,Industrials,Farm & Heavy Construction Machinery,Russell1000,7.88,6.99,8.42,6.29,6.27,5.83,6.78,,rsi+analyst+upside,9.08,55.09,0.4902,0,1,0,,False,8066310144.0
32,DELL,Dell Technologies,Technology,Computer Hardware,SP500,7.87,7.65,8.48,9.3,10.0,8.06,8.45,,rsi+analyst+upside,5.51,75.97,7.8196,1,1,0,,False,237462667264.0
33,BPOP,"Popular, Inc.",Financial Services,Banks - Regional,Russell1000,7.86,8.69,7.54,8.95,9.46,,6.9,,rsi+upside,6.44,67.83,0.368,1,1,0,,False,9973980160.0
34,FNB,FNB Corporation,Financial Services,Banks - Regional,Russell1000,7.83,8.34,7.34,8.02,8.09,,7.74,,rsi+upside,8.15,62.34,0.0364,1,1,0,,False,6400231424.0
35,IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery,SP500,7.82,8.47,7.13,8.12,8.87,7.5,6.5,,rsi+analyst+upside,8.41,65.47,0.5943,1,1,0,,False,16207816704.0
36,RF,Regions Financial Corporation,Financial Services,Banks - Regional,SP500,7.81,8.26,7.35,8.24,9.63,6.07,6.26,,rsi+analyst+upside,8.01,68.51,0.1305,1,1,0,,False,24504793088.0
37,APH,Amphenol,Technology,Electronic Components,SP500,7.81,7.9,7.79,9.62,10.0,8.61,9.49,,rsi+analyst+upside,6.48,71.48,1.2205,1,1,0,,False,180512309248.0
38,SSB,SouthState Corporation,Financial Services,Banks - Regional,Russell1000,7.79,6.38,8.77,7.39,6.47,8.85,8.7,,rsi+analyst+upside,7.95,55.89,0.152,0,0,0,,False,9365876736.0
39,LVS,Las Vegas Sands,Consumer Cyclical,Resorts & Casinos,SP500,7.78,5.73,8.98,7.14,5.81,8.25,10.0,,rsi+analyst+upside,8.73,53.25,0.1372,0,0,0,,False,34139074560.0
40,FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,SP500,7.78,8.14,7.34,9.0,10.0,8.25,6.75,,rsi+analyst+upside,7.55,71.85,0.3245,1,1,0,,False,47504322560.0
41,MAS,Masco,Industrials,Building Products & Equipment,SP500,7.77,9.12,7.06,8.41,9.19,6.67,7.83,,rsi+analyst+upside,6.76,66.75,0.0391,1,1,1,,False,14364500992.0
42,RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,SP500,7.76,8.19,7.77,9.17,10.0,8.42,7.42,,rsi+analyst+upside,5.95,71.91,1.6313,1,1,0,,False,22999496704.0
43,GWW,W. W. Grainger,Industrials,Industrial Distribution,SP500,7.75,8.51,7.18,7.41,8.99,5.59,4.47,,rsi+analyst+upside,8.14,65.97,2.0281,1,1,0,,False,61925670912.0
44,CRM,Salesforce,Technology,Software - Application,SP500,7.75,6.53,8.31,6.99,5.53,8.38,10.0,,rsi+analyst+upside,9.03,52.11,0.5137,1,0,0,,False,141363494912.0
45,BOKF,BOK Financial Corporation,Financial Services,Banks - Regional,Russell1000,7.74,7.29,8.1,5.88,5.61,,6.95,,rsi+upside,8.8,52.43,0.0582,0,1,0,,False,7912773632.0
46,WWD,"Woodward, Inc.",Industrials,Aerospace & Defense,Russell1000,7.72,7.24,7.73,7.6,6.82,8.96,8.58,,rsi+analyst+upside,8.73,57.28,1.2612,0,1,0,,False,21772472320.0
47,TFC,Truist Financial,Financial Services,Banks - Regional,SP500,7.71,8.12,7.26,7.41,7.43,,7.33,,rsi+upside,8.45,59.74,0.1522,1,1,0,,False,61276454912.0
48,FSLR,First Solar,Technology,Solar,SP500,7.71,8.03,8.52,6.83,8.28,7.21,2.11,,rsi+analyst+upside,5.23,63.14,0.1222,1,1,0,,False,27327539200.0
49,MORN,"Morningstar, Inc.",Financial Services,Financial Data & Stock Exchanges,Russell1000,7.69,6.47,8.26,5.93,5.93,,,,rsi_only,9.56,53.73,0.6696,1,0,0,,False,7016548864.0
50,AMG,Affiliated Managers Group,Financial Services,Asset Management,Russell1000,7.68,8.05,7.7,9.23,10.0,8.93,7.2,,rsi+analyst+upside,5.88,84.15,3.4975,1,1,0,,False,8850424832.0
51,SN,SharkNinja,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Russell1000,7.68,8.17,7.3,9.35,9.33,9.38,9.39,,rsi+analyst+upside,6.74,67.33,0.7416,1,1,0,,False,17961060352.0
52,MLI,Mueller Industries,Industrials,Metal Fabrication,Russell1000,7.68,6.67,8.7,4.05,4.05,,,,rsi_only,9.07,46.19,-0.497,1,1,0,,False,14730771456.0
53,CBSH,Commerce Bancshares,Financial Services,Banks - Regional,Russell1000,7.68,8.24,7.57,8.31,8.72,,6.65,,rsi+upside,6.5,64.89,0.1181,1,1,0,,False,7874882048.0
54,DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,SP500,7.67,8.34,7.07,7.47,7.19,8.12,7.67,,rsi+analyst+upside,8.26,58.75,0.6394,1,1,0,,False,29482768384.0
55,BAC,Bank of America,Financial Services,Banks - Diversified,SP500,7.67,8.06,7.34,9.38,10.0,8.96,7.96,,rsi+analyst+upside,6.7,73.18,0.3381,1,1,0,,False,382612701184.0
56,ZION,Zions Bancorporation,Financial Services,Banks - Regional,Russell1000,7.67,8.56,7.09,8.09,9.19,6.43,6.45,,rsi+analyst+upside,7.38,66.77,0.1198,1,1,0,,False,9435940864.0
57,HLT,Hilton Worldwide,Consumer Cyclical,Lodging,SP500,7.66,8.41,6.95,8.26,9.63,7.1,5.33,,rsi+analyst+upside,7.88,68.53,1.6887,1,1,0,,False,77853466624.0
58,GRMN,Garmin,Technology,Scientific & Technical Instruments,SP500,7.65,6.98,7.85,7.39,7.51,,6.93,,rsi+upside,8.59,60.03,0.5781,0,1,0,,False,45401243648.0
59,FHN,First Horizon Corporation,Financial Services,Banks - Regional,Russell1000,7.65,8.39,7.43,6.82,6.88,6.71,6.78,,rsi+analyst+upside,7.36,57.5,0.0102,1,1,0,,False,11658987520.0
60,AMT,American Tower,Real Estate,REIT - Specialty,SP500,7.65,8.02,7.13,8.83,9.49,8.3,7.38,,rsi+analyst+upside,7.66,67.95,0.8093,1,1,0,,False,90173603840.0
61,PB,Prosperity Bancshares,Financial Services,Banks - Regional,Russell1000,7.65,8.49,7.29,6.85,6.82,,7.0,,rsi+upside,7.58,57.27,0.0813,1,1,0,,False,7090387456.0
62,LLY,Lilly (Eli),Healthcare,Drug Manufacturers - General,SP500,7.65,8.24,7.94,8.82,10.0,8.15,5.96,,rsi+analyst+upside,4.83,77.58,5.8958,1,1,0,,False,1019924709376.0
63,NTRS,Northern Trust,Financial Services,Asset Management,SP500,7.64,6.93,8.26,6.95,7.39,,5.19,,rsi+upside,7.68,59.57,-0.0207,1,1,0,,False,31204521984.0
64,NSA,National Storage Affiliates,Real Estate,REIT - Industrial,Russell1000,7.64,8.44,7.06,7.43,9.26,5.42,3.94,,rsi+analyst+upside,7.94,67.04,0.0129,1,1,0,,False,6598575104.0
65,HBAN,Huntington Bancshares,Financial Services,Banks - Regional,SP500,7.64,7.12,7.53,8.77,8.91,8.75,8.38,,rsi+analyst+upside,8.28,65.65,0.0868,1,0,0,,False,34005114880.0
66,TEL,TE Connectivity,Technology,Electronic Components,SP500,7.64,6.19,8.34,7.48,6.48,8.29,9.68,,rsi+analyst+upside,8.59,55.91,0.9244,0,0,0,,False,59692691456.0
67,ECG,Everus Construction Group,Industrials,Engineering & Construction,Russell1000,7.63,6.67,7.87,6.8,6.55,7.5,6.84,,rsi+analyst+upside,9.38,56.21,-0.8253,1,1,0,,False,7271392256.0
68,FTNT,Fortinet,Technology,Software - Infrastructure,SP500,7.63,8.32,7.34,6.74,9.33,5.7,0.0,,rsi+analyst+upside,7.72,67.34,0.0104,1,1,0,,False,98281119744.0
69,EVR,Evercore,Financial Services,Capital Markets,Russell1000,7.62,6.63,8.76,6.59,6.56,,6.69,,rsi+upside,6.92,56.24,-0.4836,1,1,0,,False,13437908992.0
70,BKNG,Booking Holdings,Consumer Cyclical,Travel Services,SP500,7.62,5.7,8.46,8.52,7.99,8.65,10.0,,rsi+analyst+upside,8.37,61.94,0.7938,0,0,0,,False,128056410112.0
71,AVT,Avnet,Technology,Electronics & Computer Distribution,Russell1000,7.61,6.81,8.0,6.66,6.98,,5.37,,rsi+upside,8.63,57.93,-0.3973,1,1,0,,False,6900685824.0
72,EXEL,Exelixis,Healthcare,Biotechnology,Russell1000,7.61,8.33,7.8,6.36,6.85,7.25,3.99,,rsi+analyst+upside,6.43,57.41,0.0344,1,1,0,,False,13115708416.0
73,GNTX,Gentex,Consumer Cyclical,Auto Parts,Russell1000,7.61,7.48,7.87,9.62,10.0,,8.12,,rsi+upside,5.76,81.82,0.0903,1,1,0,,False,5234356224.0
74,RS,"Reliance, Inc.",Basic Materials,Steel,Russell1000,7.6,7.38,8.29,7.72,10.0,5.94,2.69,,rsi+analyst+upside,5.86,89.35,1.2996,1,1,0,,False,20210620416.0
75,AME,Ametek,Industrials,Specialty Industrial Machinery,SP500,7.6,7.43,7.24,6.21,5.12,8.25,7.45,,rsi+analyst+upside,9.93,50.47,0.0437,0,1,0,,False,51932819456.0
76,AAPL,Apple Inc.,Technology,Consumer Electronics,SP500,7.59,7.18,7.65,6.21,6.0,7.55,5.5,,rsi+analyst+upside,9.17,53.99,-1.6321,1,1,0,,False,4270055227392.0
77,EW,Edwards Lifesciences,Healthcare,Medical Devices,SP500,7.57,8.35,6.79,7.86,7.96,8.28,7.15,,rsi+analyst+upside,8.15,61.85,0.0603,1,1,0,,False,49901707264.0
78,KIM,Kimco Realty,Real Estate,REIT - Retail,SP500,7.56,8.64,6.51,8.06,9.21,6.7,5.98,,rsi+analyst+upside,8.22,66.83,0.038,1,1,0,,False,16906950656.0
79,CACC,Credit Acceptance,Financial Services,Credit Services,Russell1000,7.56,7.45,8.1,5.22,5.75,5.0,3.85,,rsi+analyst+upside,7.76,53.01,-2.158,1,1,0,,False,5894092800.0
80,A,Agilent Technologies,Healthcare,Diagnostics & Research,SP500,7.56,7.44,7.75,9.46,10.0,8.75,8.56,,rsi+analyst+upside,5.93,77.9,1.6634,1,1,0,,False,38117015552.0
81,DUOL,Duolingo,Technology,Software - Application,Russell1000,7.56,5.82,8.78,5.34,6.36,5.43,2.16,,rsi+analyst+upside,8.88,55.45,0.2451,1,0,0,,False,5533864448.0
82,SNX,TD Synnex,Technology,Electronics & Computer Distribution,Russell1000,7.55,7.63,8.3,8.29,10.0,8.64,2.8,,rsi+analyst+upside,4.65,81.68,1.926,1,1,0,,False,21462747136.0
83,FHB,"First Hawaiian, Inc.",Financial Services,Banks - Regional,Russell1000,7.55,8.4,7.07,7.3,7.81,,5.28,,rsi+upside,7.5,61.23,0.012,1,1,0,,False,3379408640.0
84,WST,West Pharmaceutical Services,Healthcare,Medical Instruments & Supplies,SP500,7.54,6.87,7.78,8.41,8.79,9.0,6.7,,rsi+analyst+upside,7.58,65.15,-1.1856,1,1,0,,False,23341611008.0
85,PRU,Prudential Financial,Financial Services,Insurance - Life,SP500,7.54,8.14,7.18,5.69,6.65,4.31,4.22,,rsi+analyst+upside,8.62,56.59,0.1008,1,1,0,,False,35791855616.0
86,STLD,Steel Dynamics,Basic Materials,Steel,SP500,7.53,7.96,8.06,8.29,10.0,7.5,3.94,,rsi+analyst+upside,4.61,77.77,1.2494,1,1,0,,False,37746253824.0
87,NBIX,Neurocrine Biosciences,Healthcare,Drug Manufacturers - Specialty & Generic,Russell1000,7.53,6.77,8.47,7.69,7.15,8.97,8.04,,rsi+analyst+upside,6.12,58.61,-0.0241,1,1,0,,False,16266976256.0
88,WAT,Waters Corporation,Healthcare,Diagnostics & Research,SP500,7.52,8.09,7.01,8.38,9.08,7.95,6.69,,rsi+analyst+upside,7.36,66.32,0.8076,1,1,0,,False,36396515328.0
89,USB,U.S. Bancorp,Financial Services,Banks - Regional,SP500,7.51,8.26,6.52,7.41,7.39,,7.47,,rsi+upside,9.04,59.56,0.1416,1,1,0,,False,86796812288.0
90,CSCO,Cisco,Technology,Communication Equipment,SP500,7.5,6.78,7.57,6.58,6.64,7.79,5.22,,rsi+analyst+upside,9.33,56.54,-0.3127,1,1,0,,False,465877565440.0
91,LH,Labcorp,Healthcare,Diagnostics & Research,SP500,7.5,7.21,7.34,7.89,7.61,8.55,8.06,,rsi+analyst+upside,8.34,60.45,1.0854,1,0,0,,False,21924749312.0
92,ESTC,Elastic NV,Technology,Software - Application,Russell1000,7.49,6.44,7.7,8.29,8.7,7.5,7.85,,rsi+analyst+upside,8.44,64.79,0.5528,1,0,0,,False,6225379840.0
93,HAYW,Hayward Holdings,Industrials,Electrical Equipment & Parts,Russell1000,7.49,5.88,8.23,7.72,7.69,6.75,8.78,,rsi+analyst+upside,8.34,60.78,0.0537,0,0,0,,False,3143793664.0
94,HUBB,Hubbell Incorporated,Industrials,Electrical Equipment & Parts,SP500,7.49,7.21,7.35,7.11,6.99,7.32,7.26,,rsi+analyst+upside,8.76,57.96,2.7798,0,1,0,,False,25239214080.0
95,TJX,TJX Companies,Consumer Cyclical,Apparel Retail,SP500,7.49,8.46,6.94,8.79,9.34,9.05,6.87,,rsi+analyst+upside,6.36,67.36,0.7793,1,1,0,,False,181425602560.0
96,ZM,Zoom Communications,Technology,Software - Application,Russell1000,7.47,6.61,7.55,6.31,5.66,7.5,7.1,,rsi+analyst+upside,9.71,52.63,-0.562,1,1,0,,False,27581421568.0
97,APPF,AppFolio,Technology,Software - Application,Russell1000,7.47,6.45,7.91,7.25,6.56,,10.0,,rsi+upside,8.34,56.25,0.3753,1,0,0,,False,5872698368.0
98,PPG,PPG Industries,Basic Materials,Specialty Chemicals,SP500,7.47,7.96,6.85,8.68,10.0,6.96,6.46,,rsi+analyst+upside,7.53,71.6,0.5312,1,1,0,,False,25606752256.0
99,ABNB,Airbnb,Consumer Cyclical,Travel Services,SP500,7.46,7.23,7.36,6.02,5.06,7.21,7.72,,rsi+analyst+upside,9.18,50.26,0.0155,0,1,0,,False,78375280640.0
100,PATH,UiPath,Technology,Software - Infrastructure,Russell1000,7.46,6.38,7.76,6.54,6.33,5.5,8.19,,rsi+analyst+upside,9.31,55.33,0.0201,1,0,0,,False,5370316288.0
101,VOYA,Voya Financial,Financial Services,Financial Conglomerates,Russell1000,7.46,8.54,6.59,8.42,10.0,6.88,5.2,,rsi+analyst+upside,7.24,73.67,0.384,1,1,0,,False,7988609024.0
102,VEEV,Veeva Systems,Healthcare,Health Information Services,SP500,7.45,6.23,7.69,6.95,5.66,7.75,10.0,,rsi+analyst+upside,9.48,52.65,0.9922,1,0,0,,False,27050057728.0
103,ALSN,Allison Transmission,Consumer Cyclical,Auto Parts,Russell1000,7.44,6.95,7.33,6.35,5.7,6.5,8.16,,rsi+analyst+upside,9.44,52.78,0.6864,0,1,0,,False,9518562304.0
104,WYNN,Wynn Resorts,Consumer Cyclical,Resorts & Casinos,SP500,7.44,6.68,7.34,9.86,10.0,9.34,9.94,,rsi+analyst+upside,7.65,72.69,0.8411,1,0,0,,False,11193917440.0
105,SPGI,S&P Global,Financial Services,Financial Data & Stock Exchanges,SP500,7.43,5.85,7.9,6.85,5.11,9.27,9.66,,rsi+analyst+upside,9.58,50.43,1.0502,0,0,0,,False,125495123968.0
106,FCX,Freeport-McMoRan,Basic Materials,Copper,SP500,7.42,8.22,6.98,6.86,6.63,8.26,6.14,,rsi+analyst+upside,7.55,56.53,0.0787,1,1,0,,False,90868293632.0
107,SCCO,Southern Copper,Basic Materials,Copper,Russell1000,7.42,5.56,8.69,4.35,4.77,3.53,3.92,,rsi+analyst+upside,9.37,49.08,-1.3545,0,1,0,,False,142386020352.0
108,ETN,Eaton Corporation,Industrials,Specialty Industrial Machinery,SP500,7.42,8.24,6.64,7.57,7.55,8.19,7.01,,rsi+analyst+upside,8.02,60.19,0.5922,1,1,0,,False,152038866944.0
109,DGX,Quest Diagnostics,Healthcare,Diagnostics & Research,SP500,7.41,8.36,6.94,8.0,8.52,7.22,7.22,,rsi+analyst+upside,6.53,64.07,0.7656,1,1,0,,False,22282637312.0
110,FDX,FedEx,Industrials,Integrated Freight & Logistics,SP500,7.41,8.04,7.1,9.08,10.0,7.78,7.63,,rsi+analyst+upside,5.92,75.83,0.7599,1,1,0,,False,78082867200.0
111,CBRE,CBRE Group,Real Estate,Real Estate Services,SP500,7.41,5.79,8.15,7.14,5.68,8.65,10.0,,rsi+analyst+upside,8.62,52.72,0.5609,0,0,0,,False,39480459264.0
112,ALLY,Ally Financial,Financial Services,Credit Services,Russell1000,7.4,5.93,7.86,6.82,5.39,8.33,9.57,,rsi+analyst+upside,9.37,51.56,-0.0356,0,1,0,,False,13244861440.0
113,PSA,Public Storage,Real Estate,REIT - Industrial,SP500,7.4,8.4,6.38,7.95,9.3,6.45,5.4,,rsi+analyst+upside,8.09,67.2,0.4278,1,1,0,,False,56195702784.0
114,EOG,EOG Resources,Energy,Oil & Gas E&P,SP500,7.4,8.04,8.0,5.16,3.8,7.02,7.38,,rsi+analyst+upside,5.8,45.18,0.1337,1,1,0,,False,72283021312.0
115,NUE,Nucor,Basic Materials,Steel,SP500,7.4,8.23,8.04,8.54,10.0,8.09,4.63,,rsi+analyst+upside,3.05,74.19,0.4001,1,1,0,,False,56404598784.0
116,TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,SP500,7.4,7.3,7.61,8.8,9.43,7.86,7.86,,rsi+analyst+upside,6.0,67.73,0.6889,0,1,0,,False,28962101248.0
117,MLM,Martin Marietta Materials,Basic Materials,Building Materials,SP500,7.39,5.88,7.96,6.24,4.91,7.61,8.88,,rsi+analyst+upside,9.45,49.62,2.3098,0,0,0,,False,33903716352.0
118,AFL,Aflac,Financial Services,Insurance - Life,SP500,7.39,6.61,8.83,3.55,2.85,4.82,4.39,,rsi+analyst+upside,7.19,41.38,-0.0656,1,1,0,,False,59205124096.0
119,PNW,Pinnacle West Capital,Utilities,Utilities - Regulated Electric,SP500,7.38,8.7,7.01,6.04,6.18,6.03,5.62,,rsi+analyst+upside,6.72,54.73,0.0874,1,1,0,,False,12506515456.0
120,FAST,Fastenal,Industrials,Industrial Distribution,SP500,7.38,8.37,6.81,7.25,8.5,5.47,5.26,,rsi+analyst+upside,7.24,64.01,0.3313,1,1,0,,False,53406593024.0
121,MIDD,Middleby,Industrials,Specialty Industrial Machinery,Russell1000,7.38,7.76,7.32,9.45,10.0,8.25,8.99,,rsi+analyst+upside,5.41,78.14,0.5059,1,1,0,,False,7156550144.0
122,PNFP,Pinnacle Financial Partners,Financial Services,Banks - Regional,Russell1000,7.37,6.66,7.34,6.74,6.3,,8.51,,rsi+upside,9.27,55.19,-0.2213,1,1,0,,False,14241817600.0
123,ARMK,Aramark,Industrials,Specialty Business Services,Russell1000,7.37,6.73,7.56,5.95,5.01,8.75,6.0,,rsi+analyst+upside,9.03,50.02,-0.2136,1,1,0,,False,14096941056.0
124,TKO,TKO Group Holdings,Communication Services,Entertainment,SP500,7.37,8.19,6.84,7.64,7.35,8.52,7.61,,rsi+analyst+upside,7.14,59.41,1.0259,1,1,0,,False,38873174016.0
125,EXPD,Expeditors International,Industrials,Integrated Freight & Logistics,SP500,7.37,8.82,6.29,6.95,9.4,4.17,2.39,,rsi+analyst+upside,8.01,67.59,0.1131,1,1,0,,False,21350998016.0
126,AXP,American Express,Financial Services,Credit Services,SP500,7.37,5.97,7.86,5.9,5.02,6.81,7.63,,rsi+analyst+upside,9.7,50.07,0.0181,0,0,0,,False,215956389888.0
127,DXCM,Dexcom,Healthcare,Medical Devices,SP500,7.37,7.61,7.67,9.11,10.0,9.17,6.39,,rsi+analyst+upside,4.87,79.16,0.468,1,1,0,,False,29808689152.0
128,WBS,Webster Bank,Financial Services,Banks - Regional,Russell1000,7.37,6.87,7.29,6.03,6.18,,5.45,,rsi+upside,9.49,54.72,-0.0611,1,1,0,,False,11696693248.0
129,UNM,Unum,Financial Services,Insurance - Life,Russell1000,7.36,8.65,7.18,8.98,9.92,8.08,7.03,,rsi+analyst+upside,4.26,69.69,0.1605,1,1,0,,False,14062705664.0
130,DKS,Dick's Sporting Goods,Consumer Cyclical,Specialty Retail,Russell1000,7.36,5.64,8.29,6.33,5.47,7.4,7.82,,rsi+analyst+upside,8.69,51.88,-1.2881,0,1,0,,False,19239464960.0
131,SMCI,Supermicro,Technology,Computer Hardware,SP500,7.35,7.61,8.46,7.36,10.0,5.42,1.38,,rsi+analyst+upside,3.52,71.35,0.4312,1,1,0,,False,23347064832.0
132,ANET,Arista Networks,Technology,Computer Hardware,SP500,7.34,7.98,7.23,8.18,7.76,9.25,8.39,,rsi+analyst+upside,5.84,61.02,0.6146,1,1,0,,False,184732745728.0
133,JLL,Jones Lang LaSalle,Real Estate,Real Estate Services,Russell1000,7.34,5.88,8.07,7.37,6.31,7.92,10.0,,rsi+analyst+upside,8.01,55.26,1.5523,0,0,0,,False,13988127744.0
134,SNOW,Snowflake Inc.,Technology,Software - Application,Russell1000,7.34,7.78,6.98,9.44,10.0,8.77,8.44,,rsi+analyst+upside,6.09,71.35,4.5496,1,1,0,,False,80198909952.0
